track_id,track_name,track_artist,popular,release_year,release_month,playlist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
5NHn7UwIgpLQls7LhwF955,House Of Cards (feat. Sidnie Tipton),KSHMR,0,2018,2,pop,0.556,0.817,9,-4.442,0,0.0737,0.0195,2.45e-05,0.266,0.423,109.999,188652
53rhwRKKrsWaT6tuSzymdY,mEnorme,Linn da Quebrada,0,2018,11,latin,0.383,0.508,1,-9.587,1,0.0482,0.127,0.000198,0.234,0.226,124.817,224246
4YmxakmVsl3YtvNFrB9ih3,Buggin' - Edit,Hot Since 82,0,2018,6,edm,0.738,0.851,0,-6.573,1,0.0391,0.00104,0.437,0.43,0.359,123.998,275806
5X1x7olCET1Kix9YjOMTkN,Wherewithal,Bokki,0,2018,10,rap,0.639,0.265,6,-17.125,1,0.061,0.88,0.646,0.87,0.137,82.021,159017
06Gyf2pFDVmN5K8XAawG96,No Cap,Future,0,2017,10,rap,0.8,0.523,1,-6.578,1,0.107,0.00108,0,0.352,0.379,147.057,144142
7LRJmZ6G5qHQEG2CGeTCji,We Can (feat. Tory Lanez),Kranium,0,2016,9,latin,0.552,0.618,5,-6.757,0,0.32,0.42,0,0.109,0.399,132.765,194586
7MRU4vOkywuhZ9kbFiPuiu,Si Supieras,Daddy Yankee,1,2019,6,latin,0.691,0.894,9,-1.681,0,0.115,0.291,0,0.104,0.623,184.019,241880
0wiBYsf6AMo2oIMIubtqOT,Platinum Plus,Big L,0,2000,8,rap,0.627,0.64,10,-10.141,0,0.301,0.000894,0,0.0942,0.882,97.226,217733
7qIICzwgm3eu1Ic3ufPGJf,Thick And Thin,LANY,0,2018,9,pop,0.686,0.564,5,-6.063,0,0.03,0.0599,0,0.0914,0.266,99.968,212429
5vXEj2R1LZFG4D5U70jXnz,Can We Talk,Tevin Campbell,0,2005,12,r&b,0.658,0.711,2,-7.424,0,0.0425,0.0759,1.77e-05,0.0446,0.614,172.365,284587
47dTK2wCmCOlYw2wLZDo1W,Saturday Night,The Herbaliser,0,1997,3,r&b,0.827,0.567,1,-10.078,1,0.203,0.0508,0.000183,0.0622,0.663,89.07,306467
0k5YE4nhWJdgzhyTv0YPHP,Stranger,Alfie Connor,0,2015,2,pop,0.611,0.369,10,-10.412,1,0.0811,0.657,0,0.112,0.362,80.111,187014
1D6dE2mMlGz3WN1gjKQ76E,Mr. Writer,Stereophonics,0,2001,1,rock,0.447,0.775,5,-3.496,0,0.0383,0.0483,0,0.103,0.164,133.416,319293
2Pph0CUJ8uksCBzV6iyuQF,Lost,Blake Rose,1,2019,2,pop,0.595,0.687,4,-6.536,1,0.0486,0.216,0,0.107,0.508,94.73,234623
35FIDQv0u26DSknDahmcdz,With You,Lewka,0,2019,8,latin,0.692,0.861,7,-4.864,0,0.0619,0.38,2.07e-05,0.215,0.558,115.029,137348
4ZIvqmpihn94QyFfGcQtdZ,Asli Hip Hop,Ranveer Singh,0,2019,1,rap,0.667,0.641,8,-11.009,1,0.609,0.572,0,0.311,0.963,169.968,108827
1siDRjAa8MdxNoCHTiiQ7B,Been Around the World (feat. The Notorious B.I.G. & Mase),Diddy,0,1905,6,rap,0.815,0.529,6,-10.117,0,0.28,0.0191,0,0.406,0.73,99.439,325933
5n0CTysih20NYdT2S0Wpe8,Trouble,Cage The Elephant,1,2015,12,pop,0.47,0.623,0,-5.655,1,0.0302,0.392,0.000453,0.0992,0.298,77.861,225973
5nLJL6DLanZaAq8DVkBs62,La Clase,Cazzu,0,2019,6,rap,0.849,0.56,1,-8.573,1,0.344,0.181,3.29e-06,0.223,0.299,130.924,267171
2BY7ALEWdloFHgQZG6VMLA,Brandy (You're a Fine Girl),Looking Glass,1,1905,5,rock,0.715,0.625,1,-11.369,0,0.0601,0.396,1.95e-05,0.134,0.826,125.275,186827
0QNlZgXWDIMdqv6Gjgq0K3,Soul Fifty,Chocolate Puma,0,2020,1,edm,0.694,0.92,11,-4.783,0,0.0792,0.018,0.876,0.0462,0.579,124.961,157440
19UgUdi5wEziJJg239wPYU,Drifting - Tim Schaufert Remix,TWO LANES,0,2019,11,rap,0.611,0.393,9,-13.501,0,0.144,0.292,0.908,0.112,0.167,80.006,189273
7BKLCZ1jbUBVqRi2FVlTVw,Closer (feat. Halsey),The Chainsmokers,1,2016,7,pop,0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,244960
4cFykOhUKQ5dnwLYf59s00,Disciples,Stee Downes,0,2008,10,r&b,0.678,0.782,0,-7.416,0,0.115,0.117,0,0.242,0.865,116.039,250480
6qsArsTq6WoqtUFUe1e15W,Airplanes,Local Natives,0,2010,2,pop,0.588,0.529,2,-7.838,1,0.0242,0.534,0.0683,0.126,0.591,95.971,237933
2OxUtaKYeahAGNaBiahXtR,Diabla - Official Remix,Farruko,1,2017,2,rap,0.684,0.725,7,-4.343,1,0.0863,0.448,0,0.194,0.575,137.945,331413
4iLqG9SeJSnt0cSPICSjxv,Attention,Charlie Puth,0,2017,4,pop,0.774,0.626,3,-4.432,0,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041,211475
3ahC30o4eQOsfQ6uHhkr0g,Lalu,Omy de Oro,0,2019,11,rap,0.802,0.548,0,-8.798,1,0.111,0.12,0.000131,0.218,0.24,145.059,204663
3uhTOxvu2h2YEm0uPNF2vi,Doch in der Nacht,Apache 207,1,2019,10,rap,0.901,0.832,9,-6.906,0,0.074,0.121,0.249,0.213,0.708,130.994,191760
5vCMqXWUY0gQffbbX1z2eK,Visit By Cap Kendricks,Funky Notes,0,2019,5,rap,0.525,0.729,6,-5.085,0,0.328,0.339,0.000494,0.538,0.842,81.634,195333
2EBCVPNAG46nbgs6jXPGvv,Starships,Nicki Minaj,1,2012,1,edm,0.747,0.716,11,-2.457,0,0.075,0.135,0,0.251,0.751,125.008,210627
5WNYg3usc6H8N3MBEp4zVk,Boredom (feat. Rex Orange County & Anna of the North),"Tyler, The Creator",1,2017,7,pop,0.559,0.578,8,-9.54,1,0.151,0.79,0.000522,0.324,0.239,79.938,320720
1E5m92fn5c92TUH6NP7HDX,Tutto apposto (feat. Capo Plaza),Philip,0,2019,9,rap,0.7,0.616,4,-8.505,1,0.155,0.27,0,0.174,0.55,140,175429
6x7r0lpyqxBKGq8J7LFMeu,Sun Is Never Going Down (feat. Dawn Golden),Martin Garrix,0,2016,10,edm,0.506,0.726,5,-5.964,0,0.0366,0.00308,8.05e-05,0.266,0.266,128.044,204418
6h3NfvlWed8jwv1xECzQE4,Crush,Beckett,0,2016,12,r&b,0.709,0.545,0,-10.37,1,0.0359,0.284,0.948,0.0529,0.587,112.631,226647
2iQecdm9sXeYFg9uem5hmt,No Te Puedo Olvidar,Camilo Séptimo,0,2017,3,pop,0.697,0.6,1,-9.439,0,0.0266,0.146,0.125,0.0965,0.498,99.979,278272
0vRvoOEUTabrQNmqUCD5Uw,The Spook Returns,KSHMR,0,2016,11,edm,0.466,0.936,1,-4.405,0,0.185,0.00948,0.356,0.154,0.37,127.863,189896
7LzouaWGFCy4tkXDOOnEyM,Liar,Camila Cabello,1,2019,9,pop,0.74,0.498,11,-6.684,0,0.0456,0.0169,0.00282,0.319,0.652,98.016,207039
0l0CvurVUrr2w3Jj1hOVFc,NO,Meghan Trainor,1,2017,5,pop,0.557,0.801,1,-3.602,0,0.218,0.0125,1.66e-06,0.737,0.654,92.135,213507
3ALLv1BQxYFlJ8XQOQtgW1,DIEZ MINUTOS (feat. Mario Bautista),Paula Cendejas,0,2019,7,latin,0.805,0.767,8,-3.977,0,0.056,0.087,0.00722,0.177,0.797,97.986,189894
5Ng5imfPCY4S1RxugcYd3g,Did I Do Something Wrong?,Bex,0,2019,12,pop,0.445,0.28,2,-8.487,0,0.0313,0.609,0,0.149,0.0659,123.828,282773
3uYzfyifC7J1j1IEjN1xz6,This Love - Acoustic,Maroon 5,0,1905,6,latin,0.637,0.631,1,-8.934,1,0.0665,0.508,1.39e-05,0.38,0.683,91.111,255293
4VOSwu01kbILSLnLTD6oG0,Anotha Day Anotha Balla,South Circle,0,1995,7,rap,0.704,0.62,7,-6.454,1,0.296,0.132,0,0.112,0.712,75.168,193627
6JvfBzqZmSiEG5MjM7OcSY,Diddy Bop (feat. Cam O'bi & Raury),Noname,0,2016,8,r&b,0.637,0.503,1,-6.927,1,0.336,0.713,0.000113,0.109,0.661,81.061,208000
3VQjHDZKiksfFLm7Fg8dEF,Immortal - Edited Version,Kid Cudi,0,2013,3,rap,0.583,0.914,0,-2.295,1,0.158,0.155,1.43e-05,0.389,0.556,84.968,302507
27GmP9AWRs744SzKcpJsTZ,Jumpman,Drake,1,2015,9,rap,0.852,0.553,1,-7.286,1,0.187,0.0563,0,0.332,0.656,142.072,205879
0r4wOGAdRfCJyaognMP44R,In Da Club,Lil Jon & The East Side Boyz,0,2004,11,rap,0.782,0.718,1,-4.277,1,0.111,0.00834,0,0.163,0.641,104.067,269920
5dd8tOJwLqEvasVqvvrJzV,On & On,Erykah Badu,0,1997,2,r&b,0.766,0.397,11,-10.414,0,0.154,0.0473,0.00765,0.261,0.344,80.421,225973
3BffVF4K7OelPuo46KUqhe,Ella Me Levanto,Daddy Yankee,0,2007,6,latin,0.759,0.9,2,-4.766,0,0.0643,0.0804,0,0.224,0.76,100.021,209493
3NxjPAciuwddPmhuvR2xjO,homesoon.,jamesjamesjames,0,2019,12,edm,0.753,0.497,8,-12.92,0,0.0453,0.172,0.862,0.139,0.108,124.986,235000
46lFttIf5hnUZMGvjK0Wxo,Runaway (U & I),Galantis,1,2015,6,pop,0.506,0.805,1,-4.119,1,0.0469,0.00711,0.00193,0.0856,0.383,126.008,227074
0QVCqacAloq7NsnPWhW3Pk,It's So Hard To Say Goodbye To Yesterday - Original Version,Boyz II Men,0,1991,4,r&b,0.297,0.0986,4,-17.71,1,0.0324,0.924,0,0.144,0.297,132.121,169200
5GjisoOfsN8qagrax01T4y,Wanna Be,The Internet,0,2018,7,r&b,0.875,0.41,7,-6.29,0,0.0571,0.0674,0.0374,0.106,0.445,87.999,267400
1oJssChX7jb4SoUQa3juR1,I Like That,The Last Skeptik,0,2019,7,rap,0.721,0.645,9,-7.837,0,0.0513,0.00408,0.00179,0.0957,0.415,113.068,229911
1zOaxkbS1kAY1gIi0g8sOm,It's My Life,Bon Jovi,0,2000,6,rock,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,224493
4UIUaKFABiomFavFdKOwMb,Could Be You (feat. Danny Dearden),Michael Calfan,0,2019,12,edm,0.685,0.871,10,-6.258,0,0.0479,0.00139,7.28e-05,0.25,0.102,121.921,170040
5mrBYl7laD552kxVsSXy2j,Love,Cynthia Jones,0,2011,8,r&b,0.719,0.403,4,-9.51,0,0.0578,0.177,6.17e-06,0.0624,0.548,171.976,251733
7yws3pF3FFguwT2Psi6c15,Do You Remember,Jay Sean,1,2009,1,latin,0.855,0.668,11,-4.892,1,0.0644,0.0242,0,0.102,0.803,125.846,210307
0CV7Da7d7Qe682eEphuowh,From Earth To Heaven,Ballin Entertainment,0,2008,4,latin,0.711,0.862,10,-12.749,0,0.0789,0.00801,0.202,0.276,0.847,128.125,142315
3kZUnG3jVpgwh3TQFdTv18,Rhiannon - 2017 Remaster,Fleetwood Mac,0,1975,7,rock,0.728,0.598,9,-10.251,0,0.0284,0.224,0.142,0.0988,0.797,129.516,250360
7pr168TcvrcajZoKC0qxi7,Tokyo,Rewind,0,2019,9,edm,0.7,0.593,0,-7.164,1,0.0395,0.00516,0.432,0.141,0.336,128.005,214687
3ibroeR6Dw9wsE8lPWJJG0,Headless Hobby Horse - Teamworx Remix,Dada Life,0,2019,2,edm,0.686,0.96,1,-6.937,1,0.0805,0.0494,0.579,0.6,0.229,127.993,187973
179wSw6TBxrM4aiEJ6SIyH,Where the Rivers Flow - Radio Mix,Sons Of Maria,0,2015,8,latin,0.701,0.844,0,-4.485,1,0.0766,0.0312,5.37e-05,0.296,0.24,120.004,183803
5MLLuLqPdUlx8bfKtdkLwO,The Best of My Love - 2013 Remaster,Eagles,0,1905,5,rock,0.559,0.393,0,-11.095,1,0.0237,0.717,0,0.0532,0.669,90.105,274891
0BDmyy2xonhhvcl2QDg2Xh,Cobra,Formal One,0,2018,12,rap,0.549,0.949,2,-4.074,1,0.0595,0.00122,0.00455,0.104,0.169,160.022,255000
72RFLY7sigTDszBRAKg9Mf,Like A Bitch - Extended Mix,Zomboy,0,2016,3,rap,0.592,0.988,6,-0.846,1,0.0997,0.000767,0.707,0.0847,0.268,149.985,264000
6V775dYuMO5BKjo9C3nhqL,Sara,Starship,0,2010,6,rock,0.63,0.611,10,-10.298,1,0.0348,0.229,3.97e-06,0.105,0.275,103.043,285942
4W5DfWLMQ6HE4nfUUDpiln,Locators,Losless,0,2018,8,edm,0.772,0.672,1,-9.786,0,0.0758,0.145,0.916,0.0786,0.0655,123.97,427773
0wGFNHfPbknx9LAt8Nj8FE,I Bet My Life - Alex Adair Remix,Imagine Dragons,0,2015,1,pop,0.591,0.519,1,-9.077,1,0.279,0.0637,0.000238,0.154,0.588,117.159,190280
0ZgTez1pojM5aCxsV0hrC9,No Guarantee - Remix Version,Chico DeBarge,0,1997,11,r&b,0.851,0.75,11,-5.789,0,0.119,0.0646,0,0.261,0.623,127.885,244467
1CuBioSnK1CMLeKDmNpoix,Rasputin - Radio Edit,Hard Rock Sofa,0,2013,5,edm,0.531,0.973,5,-1.87,1,0.0399,0.0346,0.709,0.203,0.13,127.98,170507
7bNFkCSO1ofu3uzr6voY7T,Just Got Paid,ZZ Top,0,1905,5,rap,0.567,0.687,9,-10.536,1,0.0435,0.29,0.426,0.121,0.625,99.93,267480
1hES47PrbU8GPTI5A9lsr0,I Never Loved a Man (The Way I Love You),Aretha Franklin,0,1967,3,r&b,0.657,0.371,5,-9.186,1,0.0359,0.367,0.0459,0.157,0.709,134.867,171773
6vcIFbbIOVfek0Npl2t1qq,If I Can't,50 Cent,0,2003,2,rap,0.877,0.638,11,-2.537,0,0.333,0.249,0,0.0239,0.836,93.952,196640
12avIub7BD2xuMOhyvIr08,Ratata,TV Noise,0,2019,2,edm,0.893,0.74,10,-2.948,0,0.114,0.00179,3.99e-05,0.0734,0.644,127.978,162899
3bN4tg6rnNPy9GCkGhym4T,Message In A Bottle - Remastered 2003,The Police,0,1979,10,rock,0.577,0.808,1,-7.04,0,0.039,0.0338,1.33e-05,0.221,0.869,151.008,290280
6oKyVzTqcAq9UE9HeIfo2E,Lets Get It On - Marvin Gay Sample,P I A (Players In Action),0,2011,8,r&b,0.571,0.387,8,-12.372,1,0.459,0.0549,0,0.0803,0.196,164.977,246587
722tgOgdIbNe3BEyLnejw4,Black Skinhead,Kanye West,1,2013,1,edm,0.766,0.821,1,-6.124,1,0.268,0.00112,0,0.168,0.299,130.073,188013
6wWCyJmOsODjsCMtpjAH3H,Murder,Mako,0,2018,6,pop,0.64,0.646,5,-6.161,0,0.13,0.276,0,0.126,0.37,97.864,189185
4PNKgqXRmLMPC14Xc0RxME,Mi Chain de Roque,Duki,0,2018,9,rap,0.735,0.656,0,-6.573,1,0.0359,0.114,0,0.17,0.298,129.989,182293
00MI0oGDVJYM1qWbyUOIhH,867-5309 / Jenny,Tommy Tutone,0,2008,4,rock,0.73,0.785,2,-7.201,1,0.0456,0.0418,0.00669,0.123,0.724,137.639,231080
5RJ6LmF7ElAfQuCAQ8QDI1,Kristall,AK Ausserkontrolle,0,2017,5,rap,0.702,0.687,0,-4.902,1,0.365,0.236,0,0.114,0.294,94.74,164680
1345xOev1kyaeqRdeTxiLi,Life in the Balance,The Four Owls,0,2011,12,r&b,0.666,0.84,7,-5.376,1,0.327,0.489,0,0.163,0.697,86.66,275827
2FtSe0anJxhhwmWPX8g1ri,Alles kaputt,Capital Bra,0,2016,1,rap,0.693,0.546,8,-5.656,1,0.126,0.0521,0,0.112,0.0398,135.989,221280
6LsAAHotRLMOHfCsSfYCsz,If I Can't Have You,Shawn Mendes,1,2019,5,pop,0.692,0.809,2,-4.198,1,0.0602,0.524,0,0.147,0.864,123.911,190800
4zQuwW24dweWcaX0fEJkP2,You Know I'm No Good,Amy Winehouse,1,2006,1,r&b,0.705,0.806,9,-3.607,1,0.0309,0.0132,0.00428,0.0701,0.734,103.383,256947
5YEOzOojehCqxGQCcQiyR4,Panda,Desiigner,1,2016,6,pop,0.576,0.766,10,-4.943,0,0.449,0.028,1.68e-06,0.366,0.236,144.833,246761
36kaImsnzRzsU6L4cvWP6s,Delight - Original Mix,Jamie Berry,0,2012,11,edm,0.801,0.597,0,-6.983,1,0.0559,0.0746,0.38,0.0856,0.72,120.012,344000
1XR9TxhnaRRx9cgGoqf9En,Bang Bang,Neelix,0,2019,9,edm,0.685,0.71,0,-7.818,1,0.0479,0.0095,0.653,0.336,0.341,140.011,230679
2rizacJSyD9S1IQUxUxnsK,All We Know,The Chainsmokers,1,2016,9,pop,0.662,0.586,0,-8.821,1,0.0307,0.097,0.00272,0.115,0.296,90,194080
0trjvNuATk3tEwIpXRr16m,"Broken Homes (feat. Nafe Smallz, M Huncho & Gunna)",The Plug,0,2018,11,r&b,0.856,0.621,6,-8.71,1,0.0499,0.162,0,0.116,0.635,126.983,226983
4jw4BotdO2WfbF0U1J7mXc,One For The Money,Horace Brown,0,1996,1,r&b,0.759,0.536,3,-8.537,1,0.0429,0.0455,0,0.0313,0.842,90.073,265467
0gJvqi9QyASOCtJu99tytc,Because of You,Kelly Clarkson,1,1905,6,pop,0.587,0.583,5,-5.284,0,0.0313,0.248,0,0.124,0.15,139.92,219493
7GXeN4Kb8jOE4L7UNJym4Y,Be Focused,Ghost Rider,0,2014,9,edm,0.809,0.734,6,-8.409,0,0.156,0.0409,0.566,0.0978,0.0633,138.004,448696
3L7RtEcu1Hw3OXrpnthngx,Don't You Want Me,The Human League,1,1905,6,pop,0.731,0.738,9,-8.125,0,0.0377,0.184,0,0.214,0.958,117.656,236920
7CHi4DtfK4heMlQaudCuHK,Lose Control,MEDUZA,1,2019,10,pop,0.598,0.526,10,-8.659,0,0.0415,0.129,0,0.14,0.529,123.935,168387
1P17dC1amhFzptugyAO7Il,Look What You Made Me Do,Taylor Swift,1,2017,11,pop,0.766,0.709,9,-6.471,0,0.123,0.204,1.41e-05,0.126,0.506,128.07,211853
5GWvjHTDN99HvQepF9Y337,All in Line,Firewoodisland,0,2016,4,pop,0.563,0.406,11,-10.958,0,0.0344,0.431,0.00711,0.26,0.152,89.023,187973
32DGGj6KlNuBr6WaqRxpxi,How Long,Charlie Puth,0,2017,10,pop,0.849,0.581,1,-5.243,0,0.0767,0.189,3.61e-06,0.0805,0.779,110.008,198237
4LxIGAVfcQIw0zAQRyFhU8,Motownphilly,Boyz II Men,0,1991,4,r&b,0.754,0.857,2,-9.699,1,0.0605,0.0143,2.14e-05,0.278,0.785,114.144,235227
40tnCfx2mTtHozyaRDcYC5,The Bitch Is Back,Elton John,0,1974,6,rock,0.586,0.86,1,-6.752,1,0.0584,0.0372,0.00109,0.1,0.943,132.865,224933
4DKYJTdI17SlxPiwq22DHv,We Interrupt This Programme,Coburn,0,2007,7,edm,0.701,0.745,1,-7.539,1,0.0503,0.0142,7.95e-06,0.154,0.95,128.005,137333
4J82lONPEFQ0P9rnkUahI3,Flashing Lights,Laidback Luke,0,2014,5,edm,0.721,0.961,4,-2.866,0,0.0494,0.00797,0.834,0.412,0.312,128.959,275996
4UmehW6tTXGC7HsuIGujMR,Ain't Talkin' 'Bout Love,Van Halen,0,1978,2,rock,0.498,0.887,8,-8.344,0,0.0383,0.00392,0.000376,0.209,0.714,139.126,226973
2jXRWBXTj8psGCcXM7MuvR,Ghost in the Machine - Radio Edit,Blasterjaxx,0,2015,7,edm,0.562,0.981,1,-4.704,0,0.0951,0.00464,0.00598,0.834,0.0567,129.945,188308
2ACys0pX0SjmpQmQWzp7wt,Jersey,Future,0,2015,9,rap,0.758,0.526,5,-10.81,0,0.255,0.509,0.000467,0.0913,0.312,146.054,188703
0oHSxbawtdWBH9N8SqCjfq,La Trompeta (feat. MellemFingaMuzik),Camur,0,2020,1,rap,0.848,0.672,10,-5.728,0,0.275,0.215,0,0.178,0.859,105.131,169682
2mEk0VdrbDJ11DBC6Y92mh,Edge Of A Broken Heart,Vixen,0,1988,1,rock,0.619,0.751,7,-11.568,0,0.0417,0.0113,7.87e-05,0.123,0.532,126.079,265333
3dTmgecC7MCMbteWjf8Ls7,Can't Get Over You,KVSH,1,2019,7,edm,0.714,0.795,9,-4.621,0,0.0354,0.013,2.33e-05,0.0917,0.347,123.002,142439
0k3bQrqLGN6DU3kyAr7Q8h,You & Jennifer (the other side) (with Rich The Kid),bülow,0,2019,12,r&b,0.756,0.703,11,-6.927,1,0.431,0.206,0,0.28,0.311,132.067,158200
0E8qIw6KblOtDQYzzHQrxL,Como Tú (Magic Music Box),León Larregui,0,2012,1,rock,0.568,0.903,0,-7.647,1,0.0982,0.000292,0.724,0.0764,0.762,122.604,232120
6NMtzpDQBTOfJwMzgMX0zl,SKELETONS,Travis Scott,1,2018,8,r&b,0.46,0.686,0,-5.948,0,0.0367,0.00146,0,0.375,0.252,148.054,145588
3hcUREHAHIjauQzwrxmJIk,Onye Mmanya,The Funkees,0,2012,3,rock,0.59,0.741,0,-9.662,1,0.0525,0.225,0.241,0.191,0.598,111.695,352187
4sAHukt0TkE08mpMNgNwcp,I Got Cha Opin,Black Moon,0,1905,6,rap,0.726,0.398,4,-12.767,0,0.241,0.213,0.155,0.127,0.536,91.599,255200
60jkNKC1ALVYGyPTrhGWul,Sirena,Lionel Ferro,0,2020,1,edm,0.767,0.643,2,-5.953,1,0.0488,0.0896,0,0.0879,0.665,92.986,189377
456w57RBY3nDKMs82h0SJC,Blow Job,UCLÃ,0,2019,12,rap,0.93,0.638,1,-5.775,1,0.0821,0.0299,0,0.0942,0.434,120.055,236008
4qTzlVKdemz4egoePc5GsV,Monte Carlo,Jimilian,0,2019,10,rap,0.79,0.799,6,-5.275,1,0.15,0.123,0,0.0575,0.794,100.023,146400
1DN4zkW3QZjeXAmMJgZJ01,Bangalore Swing,Tune In Crew,0,2019,8,edm,0.857,0.579,0,-6.005,1,0.0588,0.413,0.236,0.314,0.709,112.994,199646
0qaWEvPkts34WF68r8Dzx9,Turn Me On (feat. Vula),Riton,1,2019,9,edm,0.737,0.828,11,-4.711,1,0.0396,0.0149,0.000583,0.0862,0.517,124.052,208474
2pkabSzcR7yf2WDomkBqTS,Yay,Chinx,0,2015,8,r&b,0.66,0.697,1,-4.168,1,0.274,0.115,0,0.0769,0.469,182.174,247718
4VE3jasMCphS1duMN6RNNB,Rub You The Right Way,Johnny Gill,0,1997,4,r&b,0.673,0.993,7,-5.225,1,0.0648,0.0399,0.00024,0.306,0.68,111.599,249413
6z4fzsy24FYfWiROOBgPGi,Tokyo By Night (feat. Karin Park) - Axwell Remix,Hook N Sling,0,2014,5,edm,0.661,0.935,7,-4.711,0,0.0796,0.00408,0.000825,0.078,0.389,127.987,335613
5cY6lJ8aUzXgzJIDOhKhlw,Amsterdam,Rick Ross,0,2012,1,rap,0.583,0.79,8,-5.534,1,0.0993,0.0215,0,0.477,0.145,87.95,224520
0HvrW09sl0aoAEmlIcZ9s6,Stronger Than Me,Amy Winehouse,0,2015,10,r&b,0.88,0.464,9,-6.822,0,0.0419,0.0409,0.000304,0.0585,0.825,91.432,214493
7ANroj1yWw0YEGcLf7HO3Q,Free Yourself,Fantasia,0,2004,11,r&b,0.717,0.449,5,-9.688,0,0.0596,0.681,0,0.0902,0.611,108.802,257427
0OVuPydvNK0mYkv9F1379v,Calamity,Psylla,0,2019,11,rap,0.594,0.857,0,-6.441,1,0.0423,0.126,0.729,0.111,0.0581,102.882,195449
7vGuf3Y35N4wmASOKLUVVU,Silence,Marshmello,1,2017,8,pop,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,0.286,141.971,180823
6Ep6BzIOB9tz3P4sWqiiAB,Radioactive,Imagine Dragons,0,2012,9,pop,0.473,0.777,9,-3.698,1,0.059,0.119,7.87e-05,0.671,0.21,136.249,186813
2ISPUUp4pzssWuR2Ic09vR,God Save The Queen - Remastered 2011,Queen,0,1975,11,rock,0.17,0.293,7,-15.308,1,0.0369,0.754,0.857,0.279,0.24,117.483,75333
